ID_NOTICIERO,FECHA_TESTIGO,TIPO_VALORACION,CANDIDATO,FRASE_ESTEREOTIPO_GENERAL,FRASE_POSITIVA,FRASE_NEGATIVA,FRASE_ENFOQUE,DURACION_MINUTOS
1,04/04/2024,S,SE,,,,,1.2
1,05/03/2024,N,BXGR,,,"De estas dos propuestas de seguridad, en donde no vemos, realmente yo no encontré nada novedoso en ninguno de los dos.","De estas dos propuestas de seguridad, en donde no vemos, realmente yo no encontré nada novedoso en ninguno de los dos.",1.2333333333333334
1,05/03/2024,N,CSP,,,"De estas dos propuestas de seguridad, en donde no vemos, realmente yo no encontré nada novedoso en ninguno de los dos.","De estas dos propuestas de seguridad, en donde no vemos, realmente yo no encontré nada novedoso en ninguno de los dos.",1.2333333333333334
1,05/03/2024,P,BXGR,,"Eso de construir 32 equipos de reacción, gran idea, sin duda y en la mesa es buenísimo.",,"Eso de construir 32 equipos de reacción, gran idea, sin duda y en la mesa es buenísimo.",1.15
1,05/03/2024,S,BXGR,,,,,18.066666666666663
1,05/03/2024,S,CSP,,,,,23.099999999999998
1,05/03/2024,S,JAM,,,,,4.066666666666666
1,05/04/2024,S,BXGR,,,,,15.966666666666667
1,05/04/2024,S,CSP,,,,,3.6333333333333337
1,05/04/2024,S,JAM,,,,,6.483333333333333
1,05/04/2024,S,SE,,,,,1.0999999999999999
1,06/03/2024,S,BXGR,,,,,17.26666666666667
1,06/03/2024,S,CSP,,,,,7.833333333333333
1,06/03/2024,S,JAM,,,,,0.9333333333333333
1,06/03/2024,S,SE,,,,,11.866666666666667
1,07/03/2024,S,BXGR,,,,,13.4
1,07/03/2024,S,CSP,,,,,4.866666666666667
1,07/03/2024,S,JAM,,,,,1.65
1,08/03/2024,S,BXGR,,,,,0.55
1,08/03/2024,S,CSP,,,,,1.0
1,08/04/2024,N,BXGR,"Yo vi sobre entrenadas a las dos a Xóchitl Gálvez y a Claudia Sheinbaum. Ninguna de las dos se parecía del físico, a lo que son, a como las conocemos y que las ha hecho tan atractivas para tanta (...). Sobre producidas, maquilladas, tiesas y duras.",,"Yo vi sobre entrenadas a las dos a Xóchitl Gálvez y a Claudia Sheinbaum. Ninguna de las dos se parecía del físico, a lo que son, a como las conocemos y que las ha hecho tan atractivas para tanta (...). Sobre producidas, maquilladas, tiesas y duras.",,0.43333333333333335
1,08/04/2024,N,CSP,"Yo vi sobre entrenadas a las dos a Xóchitl Gálvez y a Claudia Sheinbaum. Ninguna de las dos se parecía del físico, a lo que son, a como las conocemos y que las ha hecho tan atractivas para tanta (...). Sobre producidas, maquilladas, tiesas y duras.",,"Yo vi sobre entrenadas a las dos a Xóchitl Gálvez y a Claudia Sheinbaum. Ninguna de las dos se parecía del físico, a lo que son, a como las conocemos y que las ha hecho tan atractivas para tanta (...). Sobre producidas, maquilladas, tiesas y duras.",,0.43333333333333335
1,08/04/2024,N,CSP,,,"Aprecié a una Claudia Sheinbaum como muy seria, como muy formal, como muy rígida, Claudia.",,4.516666666666667
1,08/04/2024,N,JAM,,,"Mucho de lo que se dijo al inicio es: ""¿con quién juega MOVIMIENTO CIUDADANO? Pues está jugando para MORENA ¿no?"" Y perdón, después de ver lo de anoche uno dice, pues a lo mejor los que decían eso sí tenían razón, o por lo menos un poquito de razón.",,0.2833333333333333
1,08/04/2024,N,JAM,,,"Y quedaba en el centro de la imagen Jorge Álvarez Máynez. Distraído por cierto, sacando cosas.",,0.8
1,08/04/2024,P,BXGR,,"Y lo que nos reportan ya es una fila muy, pues muy larga, muy larga de estudiantes interesados de todas las facultades. Son discusiones, diálogos abiertos a los que la comunidad está convocada.",,,0.4
1,08/04/2024,P,BXGR,,"Yo en lo particular te vi muy bien, me gustó mucho tu desempeño, con mucho valor, empatía, te vi fuerte.",,,0.43333333333333335
1,08/04/2024,P,CSP,,"Creo que fue un buen momento tuyo de debate, haber presentado esta estadística.",,"Creo que fue un buen momento tuyo de debate, haber presentado esta estadística.",1.55
1,08/04/2024,S,BXGR,,,,,35.73333333333334
1,08/04/2024,S,CSP,,,,,42.033333333333324
1,08/04/2024,S,JAM,,,,,19.200000000000003
1,08/04/2024,S,SE,,,,,6.166666666666666
